ADAIR,ADAMS,ALLAMAKEE,APPANOOSE,AUDUBON,BENTON,BLACK HAWK,BOONE,BREMER,BUCHANAN,BUENA VISTA,BUTLER,CALHOUN,CARROLL,CASS,CEDAR,CERRO GORDO,CHEROKEE,CHICKASAW,CLARKE,CLAY,CLAYTON,CLINTON,CRAWFORD,DALLAS,DAVIS,DECATUR,DELAWARE,DES MOINES,DICKINSON,DUBUQUE,EL PASO,EMMET,FAYETTE,FLOYD,FRANKLIN,FREMONT,GREENE,GRUNDY,GUTHRIE,HAMILTON,HANCOCK,HARDIN,HARRISON,HENRY,HOWARD,HUMBOLDT,IDA,IOWA,JACKSON,JASPER,JEFFERSON,JOHNSON,JONES,KEOKUK,KOSSUTH,LEE,LINN,LOUISA,LUCAS,LYON,MADISON,MAHASKA,MARION,MARSHALL,MILLS,MITCHELL,MONONA,MONROE,MONTGOMERY,MUSCATINE,O'BRIEN,OSCEOLA,PAGE,PALO ALTO,PLYMOUTH,POCAHONTAS,POLK,POTTAWATTAMIE,POWESHIEK,RINGGOLD,SAC,SCOTT,SHELBY,SIOUX,STORY,TAMA,TAYLOR,UNION,VAN BUREN,WAPELLO,WARREN,WASHINGTON,WAYNE,WEBSTER,WINNEBAGO,WINNESHIEK,WOODBURY,WORTH,WRIGHT,m_sin,m_cos,t
24968.11,8804.29,47800.05,38977.62,13473.98,40915.91,954127.75,92177.26,140428.92,64502.1,77876.5,16984.97,21285.8,148964.7,61515.24,26757.33,314998.56,49739.34,31268.62,32484.46,82687.77,33752.26,268040.9,59583.04,199370.23,7578.49,10548.89,54233.58,212549.55,266955.8,626761.25,1.0,50757.1,77101.4,82422.0,41200.72,1228.56,20533.76,28931.29,15643.42,43449.37,18130.08,90762.37,35999.06,54962.57,36041.14,49890.69,29472.16,107337.46,82678.88,106724.36,42638.59,923492.3,101559.11,9163.37,115701.83,210031.4,1306020.8,16690.84,13267.95,36054.82,26822.92,49419.65,89329.36,162839.23,23278.44,27721.84,36255.71,16582.06,41021.72,191211.05,139832.72,15723.08,83043.97,34450.66,88930.3,19714.41,3090543.2,660190.8,72273.23,7566.52,32977.96,1219906.1,42288.79,69967.33,526904.1,33902.58,8466.6,53299.17,21280.93,152298.48,128356.79,80132.39,11974.58,181526.84,51285.55,71676.14,500696.66,10827.92,44852.09,0.5,0.8660254,0
28079.87,8629.57,61767.6,46893.89,13595.32,46234.37,1153062.5,94107.49,121549.72,117562.62,146827.6,13221.55,26949.06,114977.63,71025.35,23273.04,376372.53,66604.83,33820.61,29799.97,99250.4,27345.26,210930.48,107725.49,278316.2,4501.65,15038.46,65586.89,206556.86,157530.02,554885.06,1.0,37499.39,96965.5,89049.42,32543.26,906.9,18529.25,19599.07,15474.78,53182.42,19912.29,112674.28,37456.01,77242.41,73496.81,47026.22,36974.61,136015.2,75231.38,126375.71,50879.52,1025332.7,81053.24,10569.88,149394.7,223689.84,1629951.1,22509.33,16601.28,45604.83,26175.64,79319.09,138374.12,211771.14,35157.03,33091.82,39597.84,21471.52,41086.8,179422.55,104939.41,20214.57,70031.03,53044.61,87570.67,39798.69,3894864.8,649041.44,85093.11,9013.04,43579.78,1227870.8,47704.33,84469.25,589597.0,37403.43,5773.68,64553.52,12822.27,232902.6,128807.31,104560.19,11204.39,221465.55,43845.79,88596.24,595696.6,10661.84,45294.11,0.8660254,0.5,1
25381.59,7671.34,58903.15,35709.46,8661.21,50573.94,1174565.2,92140.05,100370.04,85411.25,112367.44,14392.99,27563.64,149673.06,79513.96,34643.06,363790.56,43603.09,27317.97,34665.42,96102.01,32362.12,248467.62,80444.47,224059.03,5576.59,9769.51,62657.27,210110.69,160576.6,545427.06,1.0,46541.37,82116.35,64082.16,35096.77,2807.92,26888.04,28046.62,17885.48,57120.17,14354.55,108857.77,29686.19,60157.69,41828.57,33387.86,41250.39,124569.92,76619.68,144229.95,38703.04,1035792.3,79374.37,9169.47,117410.02,240636.34,1758329.6,13543.67,16643.92,42785.93,32741.32,54296.89,105147.87,212445.8,25351.3,34345.71,33603.29,16486.71,42593.8,178675.45,90280.42,17718.61,70432.13,44557.15,118023.19,21615.95,4028375.5,650276.56,118526.61,7497.68,39107.29,1450910.5,42663.55,88651.92,589037.44,43550.08,6228.78,56883.56,12615.26,162944.1,114627.61,79282.33,9999.32,174590.97,42380.25,88010.76,569809.2,12126.76,44172.7,1.0,6.123234e-17,2
36609.04,5455.28,65515.9,39597.8,12611.24,46127.04,1311824.0,117359.41,123107.35,92539.45,116668.36,20692.89,31977.56,158979.45,67435.73,30736.08,431532.2,56356.52,35040.09,38968.93,92324.89,55083.45,221676.4,99058.21,359417.97,8920.9,13895.03,79903.57,215647.56,245189.67,593439.5,1.0,45502.22,93366.48,82317.39,31581.65,2526.125,25145.8,22413.68,20338.63,55717.53,20219.13,121335.04,33273.39,72735.52,57578.53,43720.03,32946.96,130679.96,74735.67,110576.88,65179.41,1217686.8,73999.42,9033.47,114649.21,223275.55,1750124.2,19555.09,19294.98,35165.84,48717.31,60016.36,124234.85,156658.38,29869.44,37988.16,44520.39,20796.05,62332.63,214087.2,103452.33,16093.63,79239.33,41854.13,128807.61,28479.33,4384802.5,693046.75,85302.43,10963.34,41248.7,1454251.9,54874.4,115880.47,793524.06,34058.52,7249.15,64561.68,13728.08,163055.45,130488.83,81696.5,16047.08,214250.47,55524.42,122335.66,762094.6,11507.12,47724.35,0.8660254,-0.5,3
35783.93,9611.85,61702.89,64010.49,18623.49,65822.66,1184406.1,119741.52,159360.44,138591.2,146255.12,18097.48,33476.83,216219.75,112738.32,56561.53,413051.47,51808.19,25040.85,42762.81,165309.69,41923.43,295098.34,123083.41,452801.28,7449.97,11899.2,64360.51,285811.4,488704.03,750442.6,1.0,70465.89,103106.78,75718.34,50382.29,2244.33,24798.65,25027.56,28613.65,69448.3,26986.26,134460.1,45435.01,78129.46,51676.96,55987.9,39678.26,166519.9,124605.87,164886.69,76539.43,1113868.9,124772.61,12191.7,164880.58,243766.98,1977064.9,26528.93,15667.43,46990.75,32528.53,84477.29,161816.44,268457.38,37807.12,34598.8,44722.88,23891.43,46471.6,254912.4,121430.62,22529.47,101226.04,57157.27,137713.84,25742.67,4785246.0,773970.44,126579.74,9684.96,65086.39,1646111.9,49265.35,123479.28,517805.2,59607.35,10615.84,64166.94,17641.34,221663.89,176247.34,123657.37,10641.71,265195.6,49175.65,108176.91,636953.94,10334.43,60875.89,0.5,-0.8660254,4
37613.31,6033.29,57491.02,49500.04,9879.77,45424.36,1328105.8,102733.49,140715.17,103577.62,129829.01,20936.46,34602.44,223712.39,76785.5,33863.9,521976.84,53738.8,33839.18,34719.71,121548.1,46061.86,268234.47,65452.48,283384.62,7216.44,11652.71,78258.44,253540.48,519624.8,656609.7,1.0,51014.46,74746.78,95015.73,43971.2,834.76,24828.96,25791.34,25270.24,66430.0,18632.77,145548.23,43367.24,67306.38,57835.42,46625.86,35187.79,147280.34,110340.45,120525.59,60996.14,1342174.2,107323.1,9125.49,128024.14,213818.6,1977674.0,16961.65,32885.46,40834.85,67308.79,69176.87,143391.84,203135.27,27608.16,40778.91,43532.09,21493.87,42519.89,235528.2,83494.66,16124.64,80770.29,48091.91,102545.13,29707.4,4828522.5,760542.1,102550.76,12211.48,49222.55,1675874.0,54137.87,101590.87,670477.8,39870.78,6675.62,63624.85,13855.8,166182.44,143992.97,96656.27,13435.22,204415.84,60545.1,98432.34,865876.4,13656.73,48188.87,1.2246469e-16,-1.0,5
35415.51,10306.86,80770.11,44956.92,12405.36,53149.5,1237619.9,132607.44,158157.7,96854.29,114683.24,20424.11,31207.02,175130.44,100223.08,34566.33,563255.7,78291.05,38088.85,43950.43,95586.69,53780.48,298417.97,81111.64,287055.56,5259.35,11957.1,75768.32,263551.9,505361.84,691760.44,1.0,36060.65,97635.29,99565.27,42426.64,795.16,29608.82,27681.46,33932.6,64142.08,21049.34,140475.97,28975.01,66081.45,87823.93,56600.76,35698.67,144655.4,103715.36,141960.44,49838.31,1166029.5,105517.33,10525.16,141987.5,255422.44,1742075.5,19877.63,33480.02,39485.81,42215.24,68603.08,110902.39,204703.6,38860.86,40166.24,44891.14,23853.93,52481.11,190467.06,91710.83,18625.33,116758.91,42853.16,131340.94,27380.84,4381391.0,780223.56,97654.29,11895.71,68196.65,1457045.4,55431.56,126682.94,499628.9,42465.22,9537.98,78118.71,11677.6,177912.94,156282.6,82898.95,15079.32,237748.81,54352.75,128286.0,639694.1,10849.19,46793.43,-0.5,-0.8660254,6
34610.28,6837.61,81146.41,96058.63,12162.29,53052.37,1250602.1,136823.16,122766.82,117841.18,141465.08,19382.85,31935.73,161722.31,77876.31,34684.79,504782.06,54163.43,34431.69,46296.26,118161.15,44365.82,243953.52,108804.27,324788.0,7689.73,14011.21,72364.14,246798.44,392752.84,582690.7,1.0,49130.02,88685.52,83202.8,38432.91,1354.96,24960.58,23048.05,22210.43,67142.53,23908.91,136124.6,40892.99,83537.42,57641.06,51749.78,41205.08,156438.81,89113.18,156661.0,46816.02,1394428.4,80787.82,9905.19,122235.45,269460.75,1914264.4,24041.07,21966.22,47244.52,49446.43,80614.73,179395.95,219870.7,37798.46,43349.76,48813.44,25195.96,33965.35,205995.17,115758.27,25252.8,82606.03,61188.46,134688.05,31995.35,4688760.5,660694.44,114974.62,15789.14,47630.98,1461977.0,47844.2,137818.4,752711.2,51662.14,7468.67,72826.53,15004.26,211769.47,151134.31,112429.45,12047.62,276132.38,62194.13,108920.61,713369.4,12569.2,52204.76,-0.8660254,-0.5,7
31659.16,6678.04,41178.68,76691.04,10297.07,43447.55,971384.44,92809.7,120991.34,90796.72,121332.98,15987.5,22323.6,251702.42,67891.12,30673.24,262376.44,40759.51,15789.38,31069.59,92381.92,34467.18,223056.56,160316.19,225586.44,7889.57,10268.36,68029.91,282953.7,231058.47,594540.75,1.0,47673.38,70957.01,56053.68,30691.65,1757.14,17788.52,20120.49,19861.17,49233.16,19494.5,105270.12,30295.16,65024.77,51168.41,53722.4,32591.83,132581.05,82665.21,125120.8,65136.25,1191069.9,102666.24,9764.85,88867.19,214175.5,1707413.5,16048.62,14984.09,39247.9,39359.73,65786.54,128330.12,209858.19,31851.73,25565.73,32913.65,17403.07,36163.31,142571.55,76829.35,12498.54,95046.19,42158.43,123146.11,21206.48,3927659.0,646660.56,87516.98,7794.13,36195.13,1403385.2,99606.56,71277.05,619387.75,37196.1,6442.52,54825.29,19044.68,173144.45,135866.73,83337.63,12350.49,197944.89,33983.5,73419.95,560830.44,9263.14,38392.69,-1.0,-1.8369701e-16,8
41802.25,8094.6,96041.73,78126.66,16933.1,81036.75,2012712.6,203584.61,303294.97,174375.75,271885.12,24068.3,35941.07,324092.5,216659.72,51706.5,788295.5,77350.53,36434.12,70650.89,198752.66,48881.35,439178.2,240235.86,816235.6,8971.21,19914.57,112638.5,390554.47,297231.78,958882.7,1.0,77087.87,157997.34,124711.61,59840.76,2321.62,33537.43,26849.61,32819.52,123395.34,26544.61,205915.94,58188.13,141876.9,99879.09,97818.83,40777.95,258387.28,125542.69,184709.27,115666.84,1872665.5,153428.73,11080.43,209661.55,412880.0,2811857.5,24639.28,27665.81,50186.91,66655.74,141713.56,211004.92,416864.72,63423.37,38356.36,49433.37,55272.08,69668.0,393874.6,171302.66,20069.52,194057.42,63912.12,192489.62,39264.05,7028033.5,1145307.2,129613.34,9553.93,55957.07,1880301.6,132104.8,190552.03,1152113.4,57129.07,9838.29,118793.51,17906.82,297949.44,272181.72,167802.84,14504.61,416256.16,60259.87,185660.44,1077623.1,17366.07,56599.92,-0.8660254,0.5,9
34943.1,6993.02,54589.92,51865.11,12641.58,54195.87,1127410.6,109244.09,109237.23,96769.28,128287.52,17415.09,29486.63,166461.53,91814.48,39859.78,361312.75,56969.24,29641.01,40356.11,107716.88,36685.33,238243.62,71739.59,259195.83,6627.19,10430.98,52930.36,222224.84,178153.84,598131.9,1.0,54187.75,74308.86,69635.95,33323.09,1953.16,24655.68,24763.29,22874.67,58944.19,21889.58,112288.31,34590.83,71681.58,51091.39,36901.86,33857.8,136558.03,86384.94,163523.34,63070.62,1163488.2,82272.05,10261.39,112503.47,197755.98,1864386.2,18512.96,23069.49,47350.87,36556.82,66179.51,127445.47,221354.2,27095.99,31641.23,41604.73,23647.09,38184.37,230308.38,95741.23,15465.87,81143.55,45332.01,110958.52,24433.45,4531022.5,698306.1,123013.71,13516.4,37272.84,1620102.9,31336.75,102726.15,625561.1,44098.14,11003.93,71598.47,16187.76,183342.98,137686.02,107311.37,13858.21,195689.73,50343.55,106637.65,665935.56,11603.14,50901.71,-0.5,0.8660254,10
